murdock_name,land_area,atlantic_number15,atlantic_number16,atlantic_number17,atlantic_number18,indian_number15,indian_number16,indian_number17,indian_number18,atlantic_all_years,indian_all_years
KADARA,5406.217322666816,0,0,196,0,0,0,0,0,196,0
KAFA,13491.49648827765,0,0,0,0,0,0,0,0,0,0
KAGORO,15552.23076307117,0,0,0,0,0,0,0,0,0,0
KAKA,14362.78314741751,0,0,0,2259,0,0,0,0,2259,0
KALAI,10865.84188089377,0,0,0,6386,0,0,0,0,6386,0
KAM,1537.009693711336,0,0,0,0,0,0,0,0,0,0
KAMBA,45157.02261881097,0,0,0,553,491,245,527,824,553,2087
KAMBATA,9605.709787427268,0,0,0,0,0,0,0,0,0,0
KAMBERI,15553.21231503729,0,0,0,270,0,0,0,0,270,0
KAMIR,7917.985482863082,0,0,0,0,0,0,0,0,0,0
KAMUKU,10223.21010158423,0,0,0,18,0,0,0,0,18,0
KANEMBU,26476.25743699511,0,0,0,28,0,0,0,0,28,0
KANURI,48247.04656989376,0,0,392,1803,0,0,0,0,2195,0
KAONDE,87488.6261310329,0,0,0,2814,0,0,0,0,2814,0
KAPSIKI,2984.984724176891,0,0,0,0,0,0,0,0,0,0
KARA,46872.0011258895,0,0,0,0,61,31,66,103,0,261
KARABORO,2980.170593010067,0,0,0,0,0,0,0,0,0,0
KARAMOJONG,15051.8611981466,0,0,0,0,0,0,0,0,0,0
KARANGA,63988.94473807144,0,0,553,0,0,0,0,0,553,0
KARE,10733.25629217796,0,0,0,0,0,0,0,0,0,0
KAREKARE,4264.293998902598,0,0,0,36,0,0,0,0,36,0
KASONKE,22069.27714093627,0,0,0,106,0,0,0,0,106,0
KATAB,5502.429982672743,0,0,196,90,0,0,0,0,286,0
KATLA,1653.214999331274,0,0,0,0,0,0,0,0,0,0
KAWAR,104193.0476163103,0,0,0,0,0,0,0,0,0,0
KEBU,1602.26431141491,0,0,0,0,0,0,0,0,0,0
KELA,41957.75183063187,0,0,0,0,0,0,0,0,0,0
KEMANT,5355.641751795895,0,0,0,0,0,0,0,0,0,0
KENGA,11843.80024465279,0,0,0,0,0,0,0,0,0,0
KENTU,2576.081327916552,0,0,0,0,0,0,0,0,0,0
KEPERE,9003.415783727056,0,0,0,0,0,0,0,0,0,0
KERARISH,75710.38548568703,0,0,0,0,0,0,0,0,0,0
KEREWE,720.668947069568,0,0,0,0,0,0,0,0,0,0
KEYU,3472.183971803264,0,0,0,0,0,0,0,0,0,0
KGALAGADI,128539.5891720217,0,0,0,0,0,0,0,0,0,0
KGATLA,33877.97988925598,0,0,0,0,0,0,0,0,0,0
KHARGA,67824.61910619168,0,0,0,0,0,0,0,0,0,0
KIKUYU,15321.10083360929,0,0,0,0,41,20,44,69,0,174
KILINGA,6666.036947679089,0,0,0,145,0,0,0,0,145,0
KIMBU,29219.68494167128,0,0,0,0,41,20,44,69,0,174
KIMBUNDU,81511.10417126383,189,16808,303,50733,0,0,0,0,68033,0
KIMR,5382.425831708907,0,0,0,0,0,0,0,0,0,0
KINDIGA,4104.402143939355,0,0,0,0,0,0,0,0,0,0
KINGA,8618.402154099298,0,0,0,0,491,245,527,824,0,2087
KIPSIGI,5729.412713085756,0,0,0,0,0,0,0,0,0,0
KISAMA,9935.03079875209,0,525,0,5506,0,0,0,0,6031,0
KISI,4382.676429122827,0,0,0,585,82,41,88,137,585,348
KISSI,9744.227715818388,0,0,57508,5126,0,0,0,0,62634,0
KITA,12000.37843663098,0,0,0,0,0,0,0,0,0,0
KOALIB,16412.60150758305,0,0,0,0,0,0,0,0,0,0
KOBA,19014.94283585153,0,0,0,0,0,0,0,0,0,0
KOKO,16087.27899095872,0,0,3059,94,0,0,0,0,3153,0
KOM,1761.798948930199,0,0,0,0,0,0,0,0,0,0
KOMA,15090.18716226514,0,0,0,0,0,0,0,0,0,0
KOMONO,4340.338459549914,0,0,0,0,0,0,0,0,0,0
KONA,2726.567116511123,0,0,0,0,0,0,0,0,0,0
KONGO,126510.0467530227,33299,249221,1917561,1638872,0,0,0,0,3838953,0
KONJO,17700.35861782149,0,0,0,0,0,0,0,0,0,0
KONKOMBA,5919.996956229012,0,0,126357,11934,0,0,0,0,138291,0
KONO,5796.510042717314,0,0,0,400,0,0,0,0,400,0
KONONGO,22744.92756765327,0,0,0,0,20,10,22,34,0,86
KONSO,9254.238454489257,0,0,0,0,0,0,0,0,0,0
KONYANKE,22540.89659611984,0,0,0,0,0,0,0,0,0,0
KORANA,33320.09650803979,0,0,0,0,0,0,0,0,0,0
KORANKO,20592.33686133683,0,0,2629,547,0,0,0,0,3176,0
